Age,Annual_Income_k,Spending_Score,Visit_Frequency,High_Value_Purchase
69,95,92,8,1
49,134,72,19,1
21,106,61,13,1
47,34,39,12,0
54,111,1,5,0
40,117,3,6,0
56,85,77,4,0
62,51,92,19,1
32,106,62,1,0
60,82,63,17,1
46,105,25,12,1
53,70,56,15,1
30,44,33,1,0
49,77,38,14,1
24,82,6,6,0
68,81,58,5,0
39,41,44,11,0
45,77,45,4,0
19,77,32,13,1
59,105,45,11,1
62,68,61,3,0
23,71,47,1,0
45,61,21,6,0
45,89,80,18,1
61,34,85,10,0
61,73,75,5,0
37,126,36,10,1
47,79,99,12,1
28,120,19,2,0
45,116,20,13,1
42,27,57,8,0
56,72,18,2,0
50,79,47,1,0
18,127,49,5,1
44,127,14,9,0
69,24,15,17,0
30,122,31,9,1
58,87,1,11,0
20,25,54,15,1
56,128,3,6,0
23,115,16,3,0
25,135,87,17,1
44,113,57,5,1
26,66,75,12,1
54,118,12,18,1
50,74,74,14,1
68,59,96,11,1
59,71,16,9,0
61,35,72,2,0
41,32,76,12,1
32,133,24,3,0
49,125,28,3,0
49,49,8,1,0
41,38,92,8,1
58,36,36,8,0
69,139,90,11,1
66,82,8,9,0
66,38,58,5,0
69,111,60,14,1
29,77,50,3,0
56,74,28,5,0
19,109,92,5,1
20,120,41,19,1
66,109,64,14,1
54,136,27,4,0
66,81,63,13,1
34,42,17,10,0
66,28,73,18,1
19,31,33,8,0
19,136,84,8,1
45,20,77,7,0
40,77,92,8,1
54,20,29,14,0
49,130,13,19,1
50,53,46,6,0
18,115,35,1,0
36,137,6,15,1
19,67,82,1,0
61,108,69,17,1
43,123,47,1,0
49,128,25,15,1
23,136,66,2,1
49,20,10,14,0
21,35,56,8,0
28,80,30,8,0
34,122,5,19,1
55,83,33,7,0
41,82,65,19,1
22,88,18,6,0
69,41,96,6,0
51,112,49,3,0
23,138,11,7,1
39,86,85,19,1
28,95,26,8,0
65,45,63,10,0
33,35,89,15,1
50,70,86,15,1
26,120,59,1,1
23,105,27,7,0
33,76,49,4,0
46,48,77,6,0
20,97,33,1,0
37,111,98,5,1
53,88,99,1,1
36,66,1,4,0
43,132,21,2,0
20,113,55,10,1
36,129,6,5,0
37,81,92,10,1
49,135,81,1,1
24,88,69,6,1
69,95,95,13,1
58,35,5,15,0
50,109,3,4,0
57,109,53,13,1
56,67,23,15,0
35,104,53,8,1
57,58,37,5,0
18,119,74,15,1
28,52,74,4,0
45,113,83,12,1
42,120,17,13,1
67,42,85,2,0
40,29,78,19,1
48,137,73,19,1
47,88,1,4,0
59,119,51,4,0
52,53,45,11,0
24,71,77,5,1
33,114,4,11,0
43,29,62,10,0
65,38,65,8,0
69,77,32,6,0
66,115,34,6,0
19,20,92,8,1
18,139,95,15,1
65,88,72,14,1
29,128,39,11,1
22,23,26,12,0
54,35,34,13,0
